2025-08-10 12:44:56 [INFO    ] dingtalk_dify_adapter: 正在应用SSL修复...
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: SSL修复完成: 7/7 项成功
2025-08-10 12:44:59 [WARNING ] dingtalk_dify_adapter: Dify API连接测试失败，但继续启动... [app:501]
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 使用模块化处理器
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 使用ChatbotMessage.TOPIC注册处理器
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 启动钉钉-Dify流式适配器 - 统一版...
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 服务器地址: 0.0.0.0:8080
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: Dify API: http://1.92.133.173/v1
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 处理器类型: 模块化
2025-08-10 12:44:59 [INFO    ] dingtalk_dify_adapter: 支持的消息类型: 文本、图片、语音、文件
2025-08-10 12:58:01 [INFO    ] dingtalk_dify_adapter: 正在应用SSL修复...
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: SSL修复完成: 7/7 项成功
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: Web日志服务器启动成功，端口: 8080
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: 日志系统地址: http://localhost:8080
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: Web日志系统已启动，端口: 8080
2025-08-10 12:58:04 [WARNING ] dingtalk_dify_adapter: Dify API连接测试失败，但继续启动... [app:998]
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: 使用模块化处理器
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: 使用ChatbotMessage.TOPIC注册处理器
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: 启动钉钉-Dify流式适配器 - 统一版...
2025-08-10 12:58:04 [INFO    ] dingtalk_dify_adapter: 服务器地址: 0.0.0.0:8080
